Make,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel_Type,Fuel_Consumption_City,Fuel_Consumption_Hwy,Fuel_Consumption_Comb,Fuel_Consumption_Comb,CO2_Emissions
3,10,4.2,8,4,4,15.3,10.9,13.3,21,306
3,10,4.2,8,4,4,15.2,11.3,13.4,21,308
3,2,4,8,17,4,15.5,8.8,12.5,23,293
3,0,3,6,4,4,13.2,9.2,11.4,25,262
3,0,3,6,25,4,14.6,9.8,12.4,23,285
3,10,3,6,4,4,13.2,9.2,11.4,25,262
3,10,3,6,25,4,14.6,9.8,12.4,23,285
3,10,3,6,4,4,13.3,9.5,11.6,24,267
3,2,4,8,4,4,14.2,9.7,12.2,23,281
3,2,4,8,4,4,14.2,9.7,12.2,23,281
3,2,4,8,17,4,15.8,9.2,12.8,22,300
3,11,3,6,17,4,14.9,10.1,12.7,22,292
3,10,2,4,3,4,10.4,7.6,9.1,31,209
3,13,2,4,3,4,10.4,7.6,9.1,31,209
3,10,2,4,3,4,11.5,8.8,10.3,27,237
3,13,2,4,3,4,11.5,8.8,10.3,27,237
4,10,4,8,17,4,16.3,9.8,13.4,21,314
4,10,6,12,17,4,18.8,11.5,15.5,18,356
4,10,4,8,17,4,17.4,10.2,14.2,20,332
4,10,6,12,17,4,20,12.2,16.5,17,380
4,10,6,12,17,4,20,12.2,16.5,17,380
4,2,6,12,17,4,20.3,11.9,16.5,17,388
4,2,6.8,8,17,4,22.3,14.9,19,15,437
5,0,2,4,5,4,10,6.5,8.4,34,193
5,0,2,4,25,4,10.4,6.7,8.7,32,200
5,0,2,4,5,4,10.2,7,8.8,32,202
5,0,2,4,5,0,7.6,5.5,6.7,42,181
5,9,2,4,5,0,7.6,5.5,6.7,42,181
5,0,2,4,5,4,10,6.5,8.4,34,193
5,0,2,4,25,4,10.4,6.7,8.7,32,200
5,0,2,4,5,4,10.6,7.2,9.1,31,209
5,1,2,4,5,4,10.6,7.2,9.1,31,209
5,9,2,4,5,4,10.6,7.2,9.1,31,209
5,0,3,6,5,4,11.4,7.3,9.6,29,221
5,0,3,6,25,4,11.8,7.9,10,28,230
5,0,3,6,5,4,11.7,7.8,9.9,29,228
5,0,3,6,25,4,11.9,8.3,10.3,27,237
5,1,3,6,5,4,11.9,8,10.1,28,232
5,0,2,4,5,4,10,6.5,8.4,34,193
5,0,2,4,25,4,10.4,6.7,8.7,32,200
5,0,2,4,5,4,10.6,7.2,9.1,31,209
5,0,3,6,5,4,11.4,7.3,9.6,29,221
5,0,3,6,25,4,11.8,7.9,10,28,230
5,0,3,6,5,4,11.7,7.8,9.9,29,228
5,0,3,6,25,4,11.9,8.3,10.3,27,237
5,2,2,4,5,4,10.2,7,8.8,32,202
5,2,2,4,5,4,10.6,7.2,9.1,31,209
5,2,3,6,5,0,9.2,6.4,7.9,36,213
5,2,3,6,5,4,11.9,8,10.1,28,232
5,1,3,6,5,4,12.5,8.6,10.7,26,246
5,2,4.4,8,5,4,14.4,9.6,12.2,23,281
5,1,4.4,8,5,4,15,9.8,12.7,22,292
5,0,3,6,5,4,11.9,8,10.1,28,232
5,10,4.4,8,5,4,15,9.8,12.7,22,292
5,0,4.4,8,5,4,14.4,9.6,12.2,23,281
5,0,4.4,8,5,4,15,9.8,12.7,22,292
5,1,3,6,5,4,12.5,8.6,10.7,26,246
5,1,4.4,8,5,4,15,9.8,12.7,22,292
5,1,4.4,8,5,4,15,9.8,12.7,22,292
5,1,6,12,5,4,18.7,11.5,15.5,18,356
5,0,3,6,5,4,9.2,7.1,8.3,34,191
5,2,3,6,5,4,10.5,7.9,9.3,30,214
5,1,3,6,5,4,10.5,7.6,9.2,31,212
5,1,4.4,8,5,4,15,9.8,12.7,22,292
5,1,4.4,8,5,4,15,9.8,12.7,22,292
5,2,4.4,8,9,4,17.3,11.5,14.7,19,338
5,2,4.4,8,25,4,16.2,10.9,13.8,20,317
5,0,4.4,8,9,4,17.3,11.5,14.7,19,338
5,0,4.4,8,25,4,16.2,10.9,13.8,20,317
5,10,4.4,8,9,4,17.3,11.5,14.7,19,338
5,10,4.4,8,25,4,16.2,10.9,13.8,20,317
5,0,4.4,8,9,4,17.3,11.5,14.7,19,338
5,0,4.4,8,25,4,16.2,10.9,13.8,20,317
5,11,2,4,5,4,10.6,7.2,9.1,31,209
5,11,3,6,3,4,13.2,8.9,11.3,25,260
5,11,2,4,5,4,11.2,8.5,10,28,230
5,11,3,6,5,4,12.6,9.1,11,26,253
5,12,3,6,5,4,12.9,8.8,11.1,25,255
5,12,4.4,8,5,4,16.3,10.9,13.9,20,320
5,12,4.4,8,3,4,18.1,13.7,16.1,18,370
5,12,3,6,5,4,13.6,9.8,11.9,24,274
5,12,4.4,8,5,4,16.4,11.3,14.1,20,324
5,13,2,4,5,4,10.8,7.1,9.1,31,209
5,13,2,4,25,4,10.4,6.7,8.7,32,200
5,13,3,6,9,4,13.7,10.1,12.1,23,278
5,13,3,6,25,4,12.7,9,11,26,253
5,13,3,6,9,4,13.7,10.1,12.1,23,278
7,12,3.6,6,3,3,14.3,9.9,12.3,23,283
7,12,3.6,6,3,3,14.6,10.2,12.6,22,290
7,11,1.4,4,15,3,9.5,7.2,8.5,33,196
7,11,1.4,4,15,3,10.2,8,9.2,31,212
7,2,3.6,6,15,3,13.7,8.7,11.5,25,264
7,2,3.6,6,15,2,18.4,12.2,15.6,18,250
7,2,3.6,6,15,3,13.7,8.9,11.5,25,264
7,2,3.6,6,15,1,19.4,13,16.5,17,264
7,2,2.4,4,15,3,9.6,6.5,8.2,34,189
7,2,2,4,15,4,11.5,7.9,9.9,29,228
7,2,2,4,25,4,11.6,7.5,9.8,29,225
7,2,2,4,15,4,12.3,8.7,10.7,26,246
7,2,2.4,4,15,3,9.6,6.5,8.2,34,189
7,0,2,4,15,4,11.5,7.9,9.9,29,228
7,0,2,4,25,4,11.6,7.5,9.8,29,225
7,0,2.4,4,15,3,11.3,7.4,9.5,30,218
8,0,2,4,15,4,11.3,7.5,9.6,29,221
8,0,2,4,25,4,12.1,7.9,10.2,28,235
8,0,2.5,4,15,3,10.5,7.2,9,31,207
8,0,3.6,6,15,3,12.8,8.5,10.9,26,251
8,0,2,4,15,4,11.8,8.1,10.1,28,232
8,0,3.6,6,15,3,13.1,9,11.3,25,260
8,2,3.6,6,15,3,13.2,8.7,11.2,25,258
8,2,3.6,6,15,3,13.3,9,11.4,25,262
8,2,2,4,15,4,11.9,7.9,10.1,28,232
8,2,3.6,6,17,3,12.9,8.2,10.8,26,248
8,2,2,4,15,4,12.6,8.5,10.8,26,248
8,2,3.6,6,15,3,13.1,9,11.3,25,260
8,2,3.6,6,17,4,15.1,9.9,12.8,22,294
8,9,3,6,15,3,12.7,8.9,11,26,253
8,9,3.6,6,15,3,13.3,8.9,11.3,25,260
8,9,3,6,15,3,12.8,9.1,11.1,25,255
8,9,3.6,6,15,3,13.3,9,11.4,25,262
8,2,6.2,8,15,4,19.7,12.9,16.6,17,382
8,2,6.2,8,25,4,16.7,12.5,14.8,19,340
8,2,6.2,8,15,4,19.7,12.9,16.6,17,382
8,2,6.2,8,25,4,16.7,12.5,14.8,19,340
8,9,6.2,8,15,4,19.7,12.9,16.6,17,382
8,9,6.2,8,25,4,16.7,12.5,14.8,19,340
8,12,6.2,8,3,4,17,11.8,14.7,19,338
8,12,6.2,8,3,1,23.3,16.1,20.1,14,322
8,12,6.2,8,3,4,18.8,13.4,16.4,17,377
8,12,6.2,8,3,1,25.7,17.8,22.1,13,354
8,12,3.6,6,15,3,14.3,9.8,12.3,23,283
8,12,3.6,6,15,3,14.8,10.4,12.8,22,294
8,1,3.6,6,15,3,13.6,8.6,11.4,25,262
8,1,3.6,6,15,3,14,9.1,11.8,24,271
8,1,3.6,6,15,4,14.8,9.8,12.6,22,290
9,0,3.6,6,15,3,13.2,8.7,11.2,25,258
9,0,3.6,6,25,3,14.2,8.6,11.7,24,269
9,0,3.6,6,15,3,12.7,7.9,10.5,27,242
9,0,6.2,8,15,4,15.3,9.8,12.8,22,294
9,0,6.2,8,25,4,15,9.9,12.7,22,292
9,0,6.2,8,15,4,19.7,12.9,16.6,17,382
9,0,6.2,8,25,4,16.7,12.5,14.8,19,340
9,13,6.2,8,15,4,14.9,8.5,12,24,276
9,13,6.2,8,26,4,13.7,8.2,11.2,25,258
9,2,1.4,4,15,3,9.1,6.3,7.8,36,179
9,2,1.4,4,25,3,9.1,6.3,7.8,36,179
9,2,1.8,4,15,3,10.5,6.7,8.8,32,202
9,2,1.8,4,25,3,9.5,6.5,8.2,34,189
9,2,2,4,15,0,8.7,5.1,7.1,40,192
9,2,1.4,4,3,3,9.1,6,7.7,37,177
9,2,1.4,4,25,3,8.4,5.6,7.1,40,163
9,11,2.4,4,3,3,10.5,7.3,9.1,31,209
9,11,3.6,6,3,3,13.9,9.6,12,24,276
9,11,3.6,6,3,1,18.8,13.1,16.2,17,259
9,11,2.4,4,3,3,11.5,8.2,10,28,230
9,11,3.6,6,3,3,14.8,9.9,12.6,22,290
9,11,3.6,6,3,1,19.8,13.6,17,17,272
9,14,4.3,6,1,3,17.1,12.7,15.1,19,347
9,14,5.3,8,1,3,18,13.4,15.9,18,366
9,14,5.3,8,1,1,23.5,17.7,20.9,14,334
9,14,5.3,8,1,3,18.3,14.2,16.5,17,380
9,14,5.3,8,1,1,23.7,18.8,21.5,13,344
9,14,5.3,8,1,3,18.6,13.9,16.5,17,380
9,14,5.3,8,1,1,23.9,18.5,21.5,13,344
9,14,5.3,8,1,3,18.3,14.2,16.5,17,380
9,14,5.3,8,1,1,25.3,19.3,22.6,12,362
9,15,5.3,8,1,3,18.6,13.9,16.5,17,380
9,15,5.3,8,1,1,23.9,18.5,21.5,13,344
9,15,5.3,8,1,3,18.3,14.2,16.5,17,380
9,15,5.3,8,1,1,25.3,19.3,22.6,12,362
9,15,4.8,8,3,3,21.1,14.2,18,16,414
9,15,6,8,3,3,21.9,15,18.8,15,432
9,15,6,8,3,1,30,20.4,25.7,11,411
9,15,4.8,8,3,3,21.3,14.3,18.2,16,419
9,15,6,8,3,3,22.1,15,18.9,15,435
9,15,6,8,3,1,30.2,20.5,25.8,11,413
9,1,2.5,4,15,3,11.3,7.5,9.6,29,221
9,1,3.6,6,15,3,12.6,8.2,10.6,27,244
9,1,3.6,6,15,1,16.7,11.3,14.3,20,229
9,1,2.4,4,15,3,10,7,8.7,32,200
9,2,2,4,15,4,11.5,7.9,9.9,29,228
9,2,2.5,4,15,3,9.3,6.4,8,35,184
9,11,2.4,4,15,3,12.2,8.6,10.6,27,244
9,11,2.4,4,25,3,11.8,8.3,10.2,28,235
9,6,4.3,6,3,3,13.4,9.9,11.8,24,271
9,6,4.3,6,3,1,18.9,14.2,16.8,17,269
9,6,5.3,8,3,3,14.6,10.3,12.7,22,292
9,6,5.3,8,3,1,19.5,13.7,16.9,17,270
9,6,6.2,8,3,4,16.3,11.4,14.1,20,324
9,6,4.3,6,3,3,14.2,10.6,12.6,22,290
9,6,4.3,6,3,1,20,15.1,17.8,16,285
9,6,5.3,8,3,3,14.9,10.6,13,22,299
9,6,5.3,8,3,1,19.9,14.2,17.3,16,277
9,6,6.2,8,3,4,16.4,11.7,14.3,20,329
9,0,1.4,4,15,3,9.1,6.7,8,35,184
9,0,1.4,4,25,3,8.5,6.2,7.5,38,173
9,0,1.8,4,15,3,9.6,6.6,8.3,34,191
9,0,1.8,4,24,3,8.9,6.7,7.9,36,182
9,0,1.4,4,15,3,9.4,7,8.3,34,191
9,0,1.4,4,25,3,8.8,7,8,35,184
9,2,1.4,4,15,3,9.1,6.7,8,35,184
9,2,1.4,4,25,3,8.5,6.2,7.5,38,172
9,2,1.8,4,15,3,9.6,6.6,8.3,34,191
9,2,1.8,4,24,3,8.9,6.7,7.9,36,182
9,2,1.4,4,15,3,9.4,7,8.3,34,191
9,2,1.4,4,25,3,8.8,7,8,35,184
9,10,1.2,4,19,3,7.7,6,6.9,41,159
9,10,1.2,4,24,3,7.6,6,6.9,41,159
9,12,5.3,8,3,3,16,11.1,13.8,20,317
9,12,5.3,8,3,1,21.5,14.6,18.4,15,294
9,12,5.3,8,3,3,16,11.1,13.8,20,317
9,12,5.3,8,3,1,21.5,14.6,18.4,15,294
9,12,5.3,8,3,3,16,11.1,13.8,20,317
9,12,5.3,8,3,1,21.5,14.6,18.4,15,294
9,12,5.3,8,3,3,16,11.1,13.8,20,317
9,12,5.3,8,3,1,21.5,14.6,18.4,15,294
9,12,3.6,6,3,3,14.3,9.9,12.3,23,283
9,12,3.6,6,3,3,14.6,10.2,12.6,22,290
9,11,1.4,4,15,3,9.4,7.1,8.4,34,193
9,11,1.4,4,25,3,9.1,6.8,8.1,35,186
9,11,1.4,4,15,3,10,7.8,9,31,207
10,1,3.6,6,5,3,12.4,7.7,10.3,27,237
10,0,2.4,4,1,3,11.7,8.2,10.1,28,232
10,0,2.4,4,3,3,12.9,8.1,10.7,26,246
10,0,3.6,6,3,3,12.5,8.1,10.5,27,242
10,0,3.6,6,3,1,17,11.2,14.4,20,230
10,2,2.4,4,1,3,11.2,8,9.8,29,225
10,2,2.4,4,3,3,12,7.6,10,28,230
10,2,3.6,6,3,3,12.5,8.1,10.5,27,242
10,2,3.6,6,3,1,17,11.2,14.4,20,230
10,1,5.7,8,2,3,15.8,9.2,12.8,22,294
10,1,3.6,6,5,3,12.8,8.6,10.9,26,251
10,1,5.7,8,2,3,16.1,10,13.4,21,308
10,1,3.6,6,5,3,12.8,8.6,10.9,26,251
10,1,3.6,6,5,1,17.3,11.7,14.8,19,237
10,1,3.6,6,5,3,12.4,7.7,10.3,27,237
10,1,3.6,6,5,1,16.8,10.3,13.9,20,222
10,1,6.4,8,2,4,16.7,10.3,13.8,20,317
10,4,3.6,6,3,3,14.1,9.5,12,24,276
10,4,3.6,6,3,1,19.7,13.3,16.8,17,269
11,2,2.4,4,1,3,11.2,8,9.8,29,225
11,2,2.4,4,3,3,12,7.6,10,28,230
11,2,3.6,6,3,3,12.5,8.1,10.5,27,242
11,2,3.6,6,3,1,17,11.2,14.4,20,230
11,2,3.6,6,2,3,13.2,8.7,11.2,25,258
11,2,5.7,8,25,3,15.6,10,13.1,22,301
11,2,5.7,8,2,3,15.8,9.2,12.8,22,294
11,2,6.4,8,25,4,16.8,10.4,13.9,20,320
11,2,6.4,8,2,4,16.7,10.3,13.8,20,317
11,1,3.6,6,2,3,13.2,8.7,11.2,25,258
11,1,3.6,6,5,3,12.4,7.7,10.3,27,237
11,1,5.7,8,2,3,15.8,9.2,12.8,22,294
11,1,3.6,6,5,3,12.8,8.6,10.9,26,251
11,1,5.7,8,2,3,16.1,10,13.4,21,308
11,1,3.6,6,5,3,12.8,8.6,10.9,26,251
11,1,3.6,6,5,1,17.3,11.7,14.8,19,237
11,1,3.6,6,2,3,13.2,8.7,11.2,25,258
11,1,3.6,6,2,1,18.3,12.6,15.7,18,251
11,1,3.6,6,5,3,12.3,7.6,10.2,28,235
11,1,3.6,6,5,1,16.8,10.3,13.9,20,222
11,1,6.4,8,2,4,16.7,10.3,13.8,20,317
11,2,2,4,25,3,9.4,6.5,8.1,35,186
11,2,2.4,4,3,3,10.1,6.8,8.6,33,198
11,2,2.4,4,25,3,10.5,6.7,8.8,32,202
11,2,2,4,3,3,9.9,7,8.6,33,198
11,2,2,4,3,1,14.2,9.8,12.2,23,195
11,2,2.4,4,3,3,10.6,7.5,9.2,31,212
11,2,2.4,4,25,3,10.2,7,8.8,32,202
11,2,1.4,4,8,3,8.4,5.9,7.3,39,168
11,2,1.4,4,25,3,8.5,5.8,7.3,39,168
11,12,5.7,8,5,3,17.3,10.8,14.4,20,331
11,12,3.6,6,5,3,13.9,9.8,12.1,23,278
11,12,3.6,6,5,1,17.7,13,15.6,18,250
11,4,3.6,6,3,3,13.7,9.4,11.8,24,271
11,4,3.6,6,3,1,19.2,13.1,16.5,17,264
11,11,2.4,4,1,3,12.7,9.1,11.1,25,255
11,11,3.6,6,3,3,14.5,9.9,12.4,23,285
11,11,3.6,6,3,3,14.2,9.4,12,24,276
11,11,3.6,6,3,1,18.9,12.9,16.2,17,259
12,3,1.4,4,24,3,8.5,6.9,7.8,36,179
12,3,1.4,4,24,3,8.5,6.9,7.8,36,179
12,3,1.4,4,3,3,8.7,6.9,7.9,36,182
12,3,1.4,4,24,3,7.9,6.3,7.2,39,166
12,3,1.4,4,24,3,8.5,6.9,7.8,36,179
12,3,1.4,4,3,3,8.7,6.9,7.9,36,182
12,3,1.4,4,24,3,7.6,5.9,6.8,42,156
12,3,1.4,4,24,3,8.5,6.9,7.8,36,179
12,9,1.4,4,8,3,10,7.2,8.7,32,200
12,9,1.4,4,25,3,9.3,7.2,8.4,34,193
13,1,2,4,19,3,5.6,6.4,6,47,138
13,14,4.6,8,1,3,17.7,14.4,16.2,17,373
13,14,4.6,8,1,1,24.1,19.2,21.9,13,350
13,14,5.4,8,1,3,19.3,14.7,17.2,16,396
13,14,5.4,8,1,1,24.9,19.6,22.5,13,360
13,15,4.6,8,1,3,18.6,14.6,16.8,17,386
13,15,4.6,8,1,1,25.5,20,23,12,368
13,15,6.8,10,2,3,23.9,17.8,21.2,13,488
13,15,5.4,8,1,3,20.6,15.5,18.3,15,421
13,15,5.4,8,1,1,26.7,20.5,23.9,12,382
13,11,2,4,3,3,11.3,7.9,9.8,29,225
13,11,3.5,6,15,3,12.6,8.7,10.8,26,248
13,11,3.5,6,15,3,13.3,9.3,11.5,25,264
13,11,3.7,6,15,3,13.7,10.4,12.2,23,281
13,11,1.6,4,15,3,10.4,7.4,9.1,31,209
13,11,2,4,15,3,10.9,8,9.6,29,221
13,11,2.5,4,15,3,10.9,7.5,9.4,30,216
13,11,1.6,4,15,3,10.5,7.9,9.3,30,214
13,11,2,4,15,3,11.2,8.5,10,28,230
13,12,5.4,8,3,3,18.2,13.3,16,18,368
13,12,5.4,8,3,1,24.5,18,21.6,13,346
13,12,2,4,3,3,11.8,8.3,10.2,28,235
13,12,3.5,6,15,3,14.8,10.7,13,22,299
13,12,3.5,6,15,3,13.7,9.7,11.9,24,274
13,12,3.5,6,15,1,18.3,12.9,15.9,18,254
13,12,3.5,6,15,3,14.3,10.3,12.5,23,288
13,12,3.5,6,15,1,18.9,13.9,16.7,17,267
13,6,3.5,6,3,3,14.5,10.6,12.7,22,292
13,6,3.5,6,15,3,14.6,10.6,12.8,22,294
13,6,6.2,8,15,3,18.3,12.9,15.9,18,366
13,6,3.5,6,3,3,15.9,11.3,13.8,20,317
13,6,3.5,6,15,3,15.4,11,13.4,21,308
13,6,6.2,8,15,3,20.1,14.4,17.5,16,402
13,6,3.7,6,3,3,14,10.3,12.3,23,283
13,6,3.7,6,3,1,18.8,13.7,16.5,17,264
13,6,3.7,6,15,3,14,10.3,12.3,23,283
13,6,3.7,6,15,1,18.8,13.7,16.5,17,264
13,6,5,8,3,3,16.4,12.3,14.6,19,336
13,6,5,8,3,1,22.1,16.7,19.7,14,315
13,6,5,8,15,3,16.4,12.3,14.6,19,336
13,6,5,8,15,1,22.1,16.7,19.7,14,315
13,6,3.7,6,3,3,15,11.4,13.4,21,308
13,6,3.7,6,3,1,20.2,15.3,18,16,288
13,6,3.7,6,15,3,15,11.4,13.4,21,308
13,6,3.7,6,15,1,20.2,15.3,18,16,288
13,6,5,8,3,3,16.8,12.6,14.9,19,343
13,6,5,8,3,1,22.4,17,20,14,320
13,6,5,8,15,3,16.7,12.5,14.8,19,340
13,6,5,8,15,1,22.4,16.9,19.9,14,318
13,6,6.2,8,15,3,20.4,15,18,16,414
13,10,1.6,4,15,3,8.5,6.5,7.6,37,175
13,10,1.6,4,24,3,8.6,6.4,7.6,37,175
13,10,1,4,24,3,7.5,5.5,6.6,43,152
13,10,1.6,4,15,3,8,5.8,7,40,161
13,0,1.6,4,25,3,8.9,6.8,8,35,184
13,12,3.5,6,15,3,13.2,9.4,11.5,25,264
13,12,3.5,6,15,3,13.7,10.2,12.1,23,278
13,12,3.5,6,15,3,14.8,10.4,12.8,22,294
13,0,2,4,25,3,10.2,7.4,8.9,32,205
13,0,2,4,3,3,8.8,6.4,7.7,37,177
13,0,2,4,3,1,11.7,8.5,10.3,27,165
13,0,2,4,15,3,8.9,6.4,7.8,36,179
13,0,2,4,15,1,11.7,8.5,10.3,27,165
13,0,2,4,24,3,9.1,6.6,8,35,184
13,0,2,4,24,1,11.9,8.9,10.6,27,170
13,0,2,4,3,3,8.4,5.8,7.2,39,166
13,0,2,4,3,1,11.6,8.3,10.1,28,162
13,2,1.5,4,15,3,10.1,6.6,8.5,33,196
13,2,1.6,4,25,3,9.4,6.4,8.1,35,186
13,2,2,4,15,3,10.5,7.1,9,31,207
13,2,2.5,4,15,3,10.5,7,8.9,32,205
13,2,1.5,4,15,3,9.5,6.3,8.1,35,186
13,2,2,4,15,3,10.9,7.5,9.4,30,216
13,2,2,4,19,3,5.3,5.7,5.5,51,126
13,10,3.7,6,3,3,12.1,7.8,10.2,28,235
13,10,3.7,6,25,3,12.7,8.1,10.6,27,244
13,10,5,8,3,3,13.3,9.3,11.5,25,264
13,10,5,8,25,3,15.4,9.4,12.7,22,292
13,10,5.8,8,25,4,15.9,9.9,13.2,21,304
13,10,3.7,6,3,3,12.5,8.2,10.6,27,244
13,1,2,4,15,3,10.5,7.3,9.1,31,209
13,1,3.5,6,15,3,13.7,9.4,11.8,24,271
13,1,3.5,6,15,3,12.1,8.1,10.3,27,237
13,1,3.5,6,15,1,17,11.1,14.3,20,229
13,1,3.5,6,15,3,13,9.1,11.2,25,258
13,1,3.5,6,15,1,18.4,12.5,15.7,18,251
13,7,1.6,4,15,3,10.8,8,9.5,30,218
13,7,2.5,4,15,3,11.3,8.2,9.9,29,228
13,7,1.6,4,15,3,11.5,8.3,10.1,28,232
13,7,2.5,4,15,3,11.9,8.5,10.4,27,239
15,12,3.6,6,3,3,14.3,9.9,12.3,23,283
15,12,3.6,6,3,3,14.9,10.4,12.9,22,297
15,14,4.3,6,1,3,17.1,12.7,15.1,19,347
15,14,5.3,8,1,3,18,13.4,15.9,18,366
15,14,5.3,8,1,1,23.5,17.7,20.9,14,334
15,14,5.3,8,1,3,18.3,14.2,16.5,17,380
15,14,5.3,8,1,1,23.7,18.8,21.5,13,344
15,14,5.3,8,1,3,18.6,13.9,16.5,17,380
15,14,5.3,8,1,1,23.9,18.5,21.5,13,344
15,14,5.3,8,1,3,18.3,14.2,16.5,17,380
15,14,5.3,8,1,1,25.3,19.3,22.6,12,362
15,15,5.3,8,1,3,18.6,13.9,16.5,17,380
15,15,5.3,8,1,1,23.9,18.5,21.5,13,344
15,15,5.3,8,1,3,18.3,14.2,16.5,17,380
15,15,5.3,8,1,1,25.3,19.3,22.6,12,362
15,15,4.8,8,3,3,21.1,14.2,18,16,414
15,15,6,8,3,3,21.9,15,18.8,15,432
15,15,6,8,3,1,30,20.4,25.7,11,411
15,15,4.8,8,3,3,21.3,14.3,18.2,16,419
15,15,6,8,3,3,22.1,15,18.9,15,435
15,15,6,8,3,1,30.2,20.5,25.8,11,413
15,6,4.3,6,3,3,13.4,9.9,11.8,24,271
15,6,4.3,6,3,1,18.9,14.2,16.8,17,269
15,6,5.3,8,3,3,14.6,10.3,12.7,22,292
15,6,5.3,8,3,1,19.5,13.7,16.9,17,270
15,6,6.2,8,3,4,16.3,11.4,14.1,20,324
15,6,4.3,6,3,3,14.2,10.6,12.6,22,290
15,6,4.3,6,3,1,20,15.1,17.8,16,285
15,6,5.3,8,3,3,14.9,10.6,13,22,299
15,6,5.3,8,3,1,19.9,14.2,17.3,16,277
15,6,6.2,8,3,4,16.4,11.7,14.3,20,329
15,11,2.4,4,3,3,10.5,7.3,9.1,31,209
15,11,3.6,6,3,3,13.9,9.6,12,24,276
15,11,3.6,6,3,1,18.8,13.1,16.2,17,259
15,11,2.4,4,3,3,11.5,8.2,10,28,230
15,11,3.6,6,3,3,14.8,9.9,12.6,22,290
15,11,3.6,6,3,1,19.8,13.6,17,17,272
15,12,5.3,8,3,3,16,11.1,13.8,20,317
15,12,5.3,8,3,1,21.5,14.6,18.4,15,294
15,12,5.3,8,3,3,16,11.1,13.8,20,317
15,12,5.3,8,3,1,21.5,14.6,18.4,15,294
15,12,6.2,8,3,4,17,11.8,14.7,19,338
15,12,6.2,8,3,1,23.3,16.1,20.1,14,322
15,12,6.2,8,3,4,18.8,13.4,16.4,17,377
15,12,6.2,8,3,1,25.7,17.8,22.1,13,354
15,12,5.3,8,3,3,16,11.1,13.8,20,317
